SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,TotalSpend
0,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.4872563801109828
0,0.06430268518835193,-0.2608779199297493,-0.17373981825040724,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,-0.01677515075783475
0,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.4510844066036153
0,0.512486259227765,-0.747850415293989,-0.19524770717404732,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,-0.383263061795947
0,-1.2395040756535771,0.19617817640187488,-0.94045745447498,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.2431636492044103
0,-0.9950403079957154,1.1584890119510036,-0.6453692184426381,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,-1.1527432632613788
0,-0.42462485012737144,0.8078023344020117,-0.14731268909089865,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,-0.34301294517799497
0,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0643049543313459
0,-0.18016108246950976,1.3296772953043026,0.33651554451135574,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,-0.23955610085715315
0,1.2051336009250397,-0.28747027462540753,0.5314762853391823,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.34644008721822744
0,-0.791320501614164,-0.4935610235167579,-0.7481879571842651,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.39056495670648106
0,-0.6690886177852331,-1.5240147679735105,-0.8631834699626608,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,1.0197009345876789
0,1.0421577558197987,1.181757322309704,1.4990665744239262,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,1.2315775589418958
0,0.6754621043330061,1.2931128075977727,1.2145888969272465,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,0.8734486981599532
0,-0.3023929662984406,1.3529456056630036,0.17768805707524432,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,-0.40912123493687597
0,1.4903413298592119,1.6105590417771916,2.475877681529266,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,2.4002827041389976
0,0.797693988161937,-1.4675060142452372,-0.5560508161330804,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,-1.1706207251549117
0,1.5718292524118322,1.3928341377064908,2.2495926306793175,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,2.1892974414048725
0,-0.9135523854430948,-0.3190486958265014,-0.7742621363716935,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,0.29146769714480875
0,-0.46536881140368175,0.8393807556031058,-0.18547540482207542,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,-0.3906216245501416
1,-1.2802480369298874,-0.8359375902233565,-0.9898704505662146,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,1.0702074588793526
0,-0.8320644628904743,-1.495760391109374,-0.9181333687409043,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1.244569066441267
0,-1.2802480369298874,-1.4841262359300234,-0.9984736061356706,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,1.9000497001055554
0,1.0421577558197987,-0.16281861198951006,0.5390426503656527,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,-0.16968267927668237
0,0.6754621043330061,-0.17279074500038175,0.3030955940300073,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,-0.11671360022722571
0,-0.09867315991688919,-0.3157246514895444,-0.33208199947490835,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.03115354902613192
0,0.5939741817803856,1.1485168789401314,1.0879019163236925,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,0.6821893734294268
0,-1.2802480369298874,-1.150059780065818,-0.9940396721114126,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1.4723617757812817
0,1.6125732136881425,0.8460288442770204,1.802757966025724,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,1.36428345228866
0,-0.6283446565089229,-0.0032644838155611237,-0.5251015154562937,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,0.0020512209617676923
1,1.5718292524118322,1.0487955488314133,1.9781299834030968,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,1.6485275234525378
1,-1.2395040756535771,1.0205411719672768,-0.9272218305219706,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,-1.2649649420257176
0,-0.22090504374582004,0.044934159070319335,-0.18037968960016687,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,-0.00992618237511053
0,-1.2802480369298874,-1.4824642137615447,-0.9984515467624158,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,1.8979218994870266
1,-1.2802480369298874,-0.6497911073537496,-0.9873998007616529,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8318937896041356
0,1.6125732136881425,1.1667991227933967,2.1919956071104716,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,1.8815490111714535
0,-1.1172721918246462,0.1629377330323022,-0.8675512258671538,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.18204579811593932
0,0.5532302205040753,0.3324639942171226,0.5581019488579861,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,0.18392912883040435
0,0.06430268518835193,1.3811999825271402,0.5585210769498313,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,0.08881486765859987
0,-0.8728084241667845,1.0986562138857725,-0.5196749096355598,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,-0.9589163987426869
0,-0.9135523854430948,-0.5068572008645872,-0.7974906564092247,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.46304060492885346
0,1.5310852911355222,0.14631751134751586,1.142256212024051,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,0.22402458945973638
0,-0.6283446565089229,-1.4641819699082799,-0.8228368762792375,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.9200109169485762
0,1.24587756220135,0.5003282332334644,1.1374472686544572,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,0.6233477195214171
0,-0.791320501614164,0.3790006149345245,-0.5743600959347432,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,-0.2999109567220646
0,0.6754621043330061,0.6548962949019775,0.7162235363499369,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0.4423576294743787
0,-1.2395040756535771,-0.5168293338754589,-0.9645683494427119,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6406120657559548
0,-1.2395040756535771,0.526920587929123,-0.9437663604632323,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,-0.653120216283927
0,0.797693988161937,0.4970041888965074,0.8534769567426433,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,0.39645725357404366
0,1.4903413298592119,-0.021546727668825993,0.8694920617257846,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,-0.032111978768072404
